기준일,종목코드,종목명,매출액(억원),영업이익(억원),당기순이익(억원),총자산(억원),총부채(억원),자기자본(억원),유동자산(억원),유동부채(억원),이자비용(억원),매출채권(억원)
20151231,005930,삼성전자,2006535,264160,190601,2421795,632145,1789650,1245678,567890,8234,298765
20161231,005930,삼성전자,2018667,292407,228150,2621735,692341,1929394,1356789,612345,8456,312456
20171231,005930,삼성전자,2395754,536450,421867,3017521,872084,2145437,1589234,756432,8678,345678
20181231,005930,삼성전자,2437714,588867,443449,3394327,916087,2478240,1823456,834567,8912,367890
20191231,005930,삼성전자,2304009,277685,217389,3525645,896841,2628804,1923456,856789,9123,378901
20201231,005930,삼성전자,2368070,359939,264078,3782357,1022084,2760273,1981725,893452,9809,368682
20211231,005930,삼성전자,2796048,516339,399074,4266212,1215389,3050823,2181893,976431,8919,401234
20221231,005930,삼성전자,3022314,433766,556323,4482784,1317266,3165518,2378827,1042365,10234,425678
20231231,005930,삼성전자,2589355,65670,154871,4557470,1183068,3374402,2185845,947890,11234,398765
20241231,005930,삼성전자,3001234,123456,98765,4678901,1234567,3444334,2234567,987654,10567,412345
20150630,000660,SK하이닉스,185424,56789,45678,456789,234567,222222,234567,123456,5678,45678
20160630,000660,SK하이닉스,201234,67890,56789,512345,256789,255556,256789,134567,5890,48901
20170630,000660,SK하이닉스,301234,124567,89012,623456,289012,334444,312345,156789,6123,56789
20180630,000660,SK하이닉스,401234,178901,123456,734567,312345,422222,378901,178901,6456,67890
20190630,000660,SK하이닉스,266782,27654,21234,756789,301234,455555,345678,167890,6789,56789
20200630,000660,SK하이닉스,319004,50123,45678,845678,323456,522222,389012,189012,7012,62345
20210630,000660,SK하이닉스,429978,127890,98765,945678,356789,588889,434567,201234,7234,68901
20220630,000660,SK하이닉스,446780,67890,54321,1045678,389012,656667,478901,212345,7567,74567
20230630,000660,SK하이닉스,327820,18901,12345,1123456,412345,711111,512345,223456,7890,78901
20240630,000660,SK하이닉스,389012,45678,34567,1201234,434567,766667,545678,234567,8123,82345
