날짜,종목코드,종목명,시가,고가,저가,종가,거래량,거래대금,등락률,외국인순매수,기관순매수
20240101,005930,삼성전자,72000,73500,71500,73000,15234567,1112345678900,1.39,523000,-234000
20240102,005930,삼성전자,73000,74000,72500,73500,12345678,906666777000,0.68,312000,156000
20240103,005930,삼성전자,73500,74500,73000,74000,11234567,831366558000,0.68,421000,-123000
20240104,005930,삼성전자,74000,75000,73500,74500,13456789,1002381250500,0.68,234000,345000
20240105,005930,삼성전자,74500,75500,74000,75000,10234567,767592525000,0.67,567000,-456000
20240108,005930,삼성전자,75000,76000,74500,75500,14567890,1099875595000,0.67,345000,234000
20240109,005930,삼성전자,75500,76500,75000,76000,11345678,861710528000,0.66,456000,-345000
20240110,005930,삼성전자,76000,77000,75500,76500,12456789,953081458500,0.66,234000,567000
20240111,005930,삼성전자,76500,77500,76000,77000,13567890,1044726930000,0.65,678000,-234000
20240112,005930,삼성전자,77000,78000,76500,77500,10456789,810150847500,0.65,345000,456000
20240115,005930,삼성전자,77500,78500,77000,78000,11567890,901895420000,0.65,456000,-123000
20240116,005930,삼성전자,78000,79000,77500,78500,12678901,995223228500,0.64,234000,678000
20240117,005930,삼성전자,78500,79500,78000,79000,13789012,1089311948000,0.63,567000,-345000
20240118,005930,삼성전자,79000,80000,78500,79500,14890123,1183784277500,0.63,345000,234000
20240119,005930,삼성전자,79500,80500,79000,80000,11234567,898765360000,0.63,456000,-456000
20240122,005930,삼성전자,80000,81000,79500,80500,12345678,994012779000,0.63,234000,567000
20240123,005930,삼성전자,80500,81500,80000,81000,13456789,1089899409000,0.62,678000,-234000
20240124,005930,삼성전자,81000,82000,80500,81500,10567890,861287685000,0.62,345000,456000
20240125,005930,삼성전자,81500,82500,81000,82000,11678901,957669882000,0.61,456000,-123000
20240126,005930,삼성전자,82000,83000,81500,82500,12789012,1055093490000,0.61,234000,678000
